MV$Hybrid-HIPS$Rep2$Plot66$Row25$Range40$commercial hybrid 4,Missouri Valley,High,Rainfed,2,25,40,66,COMMERCIALHYBRID4,68.65,8.43,4.40,0.58,0.99,0.05
mv$hYBRID-hips$rEP1$pLOT82$rOW25$rANGE22$lh185 X w606s,Missouri Valley,High,Rainfed,1,25,22,82,LH185XW606S,72.95,6.73,4.17,1.36,1.21,0.06
mv$hYBRID-hips$rEP2$pLOT3$rOW27$rANGE24$2369 X php02,Missouri Valley,High,Rainfed,2,27,24,3,2369XPHP02,68.97,8.35,3.95,0.95,1.05,0.06
mv$hYBRID-hips$rEP1$pLOT70$rOW25$rANGE19$2369 X 3iih6,Missouri Valley,High,Rainfed,1,25,19,70,2369X3IIH6,66.64,10.89,3.87,1.43,1.13,0.05
mv$hYBRID-hips$rEP1$pLOT84$rOW29$rANGE22$phk56 X lh82,Missouri Valley,High,Rainfed,1,29,22,84,PHK56XLH82,68.62,7.80,3.94,1.19,1.14,0.06
mv$hYBRID-hips$rEP1$pLOT77$rOW23$rANGE21$COMMERCIAL HYBRID 3,Missouri Valley,High,Rainfed,1,23,21,77,COMMERCIALHYBRID3,69.52,8.00,3.77,1.17,1.13,0.05
mv$hYBRID-hips$rEP1$pLOT73$rOW23$rANGE20$phk76 X lh198,Missouri Valley,High,Rainfed,1,23,20,73,PHK76XLH198,71.87,7.83,3.99,1.85,1.25,0.06
mv$hYBRID-hips$rEP1$pLOT61$rOW23$rANGE17$phn46 X phk56,Missouri Valley,High,Rainfed,1,23,17,61,PHN46XPHK56,71.57,8.44,4.36,0.41,0.98,0.05
mv$hYBRID-hips$rEP1$pLOT63$rOW27$rANGE17$b73 X 3iih6,Missouri Valley,High,Rainfed,1,27,17,63,B73X3IIH6,67.33,9.59,3.99,1.43,1.20,0.05
mv$hYBRID-hips$rEP2$pLOT10$rOW25$rANGE26$lh123ht X 3iih6,Missouri Valley,High,Rainfed,2,25,26,10,LH123HTX3IIH6,67.36,9.05,3.97,1.30,1.07,0.06
mv$hYBRID-hips$rEP1$pLOT72$rOW29$rANGE19$f42 X mO17,Missouri Valley,High,Rainfed,1,29,19,72,F42XMO17,70.08,8.95,3.37,1.22,0.99,0.05
mv$hYBRID-hips$rEP1$pLOT83$rOW27$rANGE22$lh123ht X phb47,Missouri Valley,High,Rainfed,1,27,22,83,LH123HTXPHB47,66.62,9.40,4.21,1.43,1.05,0.06
